date,sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
2022-07-10,21,85,69,50,44,71,66,22,69,69,58,40,72,57,45,39,80,0,42,43,51,0,55,45,71,38,0,77,35,65,53,0,63,59,65,0,0,0,44,22,75,0,28,57,82,60,52,92,65,48,0,24,29,0,31,0,95,37,43,73,90,0,51,27,0,42,0,61,70
2022-07-17,22,63,46,36,46,90,67,40,0,89,28,58,83,51,0,40,86,43,40,40,61,55,37,27,50,42,37,71,23,93,58,0,72,68,55,36,64,0,61,28,56,30,43,37,82,84,58,79,0,100,27,49,23,0,0,33,65,52,34,82,69,0,58,47,0,96,81,76,86
2022-07-24,35,58,46,60,59,87,63,37,34,77,59,82,92,48,85,34,67,0,24,43,51,70,28,55,50,58,0,73,48,74,58,33,63,61,74,28,77,0,0,28,43,0,38,79,91,80,47,74,44,48,100,30,61,0,42,31,29,14,86,100,89,100,31,59,22,0,0,51,89
2022-07-31,25,84,86,41,53,100,57,0,49,76,28,74,82,29,45,39,88,0,29,71,82,59,33,31,59,44,0,68,29,76,66,24,33,85,68,0,0,76,21,0,33,38,55,72,78,74,27,49,36,37,15,32,0,26,64,54,39,0,46,80,73,0,60,66,0,0,0,53,83
2022-08-07,42,69,72,0,69,79,64,28,74,68,52,80,86,64,57,36,59,40,41,69,52,0,39,78,68,47,0,62,24,53,49,14,74,67,64,0,44,0,39,30,75,41,53,40,84,84,73,68,0,35,53,66,56,0,38,0,21,41,46,59,100,57,100,100,0,69,0,59,80
2022-08-14,31,75,59,0,36,85,66,0,57,80,38,28,95,59,50,37,75,67,78,56,45,0,33,74,78,72,34,73,10,67,54,21,62,75,79,0,0,43,0,36,57,44,63,52,20,71,58,80,47,98,72,59,32,32,39,0,24,52,26,91,81,0,67,67,0,0,47,62,78
2022-08-21,18,90,90,20,50,76,67,70,20,86,33,50,81,56,30,42,63,0,20,32,50,79,24,32,84,46,0,65,13,72,59,26,58,47,91,0,17,100,59,29,50,0,16,71,55,81,23,87,62,0,0,30,0,0,17,65,48,30,36,68,75,0,65,62,22,53,0,72,60
2022-08-28,20,68,83,55,57,77,74,31,74,100,48,53,96,59,47,66,63,0,27,80,79,33,62,46,70,57,88,76,70,100,71,23,50,100,87,0,17,0,73,82,61,0,44,71,71,76,49,90,0,0,20,18,23,28,72,31,63,31,45,65,72,0,39,40,0,26,0,57,68
2022-09-04,26,71,39,39,28,69,63,0,31,64,0,66,94,33,40,100,71,31,22,71,45,62,43,23,62,44,53,67,21,74,58,22,66,51,68,0,33,25,33,0,17,82,58,73,56,73,51,55,0,33,0,79,30,0,29,24,16,52,100,57,63,0,39,64,40,0,0,63,86
2022-09-11,41,60,63,41,52,95,72,33,34,67,57,50,87,51,41,51,60,0,25,70,67,61,56,47,64,51,74,71,28,72,50,29,55,65,92,0,0,48,20,44,63,0,67,75,72,72,60,48,57,19,29,60,24,54,27,0,30,56,62,74,77,0,37,51,20,63,67,59,77
