sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
36,27,97,35,0,41,63,0,0,13,0,0,0,,0,37,0,0,0,0,36,0,0,0,73,34,0,32,0,0,31,0,0,0,0,0,0,0,49,0,0,0,0,0,0,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,,40
0,27,0,20,0,53,63,0,0,25,69,0,0,,0,0,0,0,0,0,0,0,0,0,0,32,0,100,92,27,0,66,78,0,0,0,0,0,0,0,64,68,65,47,0,0,0,40,0,0,96,45,0,0,0,0,0,0,0,43,0,0,0,67,0,0,0,,24
100,0,38,0,0,0,56,0,0,44,27,61,61,,0,0,24,0,0,43,42,0,0,35,0,0,0,0,0,0,87,28,0,31,49,0,39,0,0,48,0,0,0,0,0,34,0,0,0,87,66,0,0,0,0,0,0,0,70,37,0,0,0,0,0,20,0,,58
24,26,91,0,0,0,66,0,0,47,0,79,79,,84,0,0,0,46,0,0,0,0,0,0,0,0,38,0,73,0,0,0,0,0,0,0,0,0,41,0,0,0,0,37,35,0,0,0,0,0,0,0,0,0,0,49,57,0,100,0,48,0,0,0,0,0,,43
0,49,0,0,0,39,55,0,0,51,0,46,46,,0,0,0,57,0,0,0,0,0,0,0,0,40,20,0,25,0,0,47,60,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,27,0,0,0,52,0,0,0,0,0,100,22,0,,28
17,35,97,0,32,0,56,0,100,35,35,0,0,,0,0,0,38,0,0,0,0,61,0,87,0,0,57,0,32,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,41,0,26,84,0,32,0,81,0,0,0,0,0,0,0,0,0,0,36,0,0,0,,34
0,31,0,0,100,0,64,0,0,71,0,0,0,,52,35,0,0,0,0,39,27,0,0,39,0,0,25,0,0,0,30,71,0,28,0,0,0,0,0,0,35,0,59,0,27,0,0,0,0,0,0,38,0,0,0,0,0,68,0,0,0,0,0,27,0,0,,0
0,26,0,0,0,40,56,0,0,30,92,0,0,,0,54,0,0,0,0,0,39,0,0,0,42,0,0,0,0,0,100,0,0,0,0,29,0,23,0,0,0,0,0,0,0,0,0,0,43,0,0,0,37,0,0,0,0,0,0,56,0,0,51,0,0,100,,31
0,0,57,0,0,0,55,0,35,30,51,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,20,40,39,0,0,0,0,0,58,100,0,0,0,0,0,0,38,25,0,0,0,25,0,,64
0,0,66,0,0,36,67,0,0,48,51,0,0,,0,0,0,0,0,0,0,0,46,0,100,0,0,29,0,0,0,0,0,55,0,38,0,0,0,0,0,67,0,0,37,0,0,0,0,0,0,0,0,0,0,37,0,0,90,0,56,0,0,0,0,0,0,,32
0,48,0,0,21,0,67,0,0,43,47,0,0,,0,0,0,0,0,0,0,26,0,0,0,0,0,30,0,28,33,0,0,0,29,41,0,0,0,26,0,0,0,0,62,32,0,46,0,0,0,0,83,0,0,0,0,0,100,34,0,0,25,100,32,30,0,,0
0,100,0,0,0,32,53,0,0,15,0,0,0,,0,0,99,47,98,0,0,0,0,0,0,0,0,32,0,49,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,79,53,0,0,0,0,57,0,58,48,0,0,0,0,0,,42
0,0,74,0,0,19,55,0,0,44,65,0,0,,0,80,0,49,0,0,0,0,50,0,0,0,0,39,0,99,67,0,0,40,28,0,53,0,51,0,0,0,0,0,39,0,68,0,0,0,97,0,0,0,71,0,0,0,0,0,0,0,0,0,39,0,0,,45
0,33,0,0,0,0,43,0,48,26,53,0,0,,74,40,0,0,0,0,0,0,0,25,88,98,31,27,24,0,0,0,0,67,26,0,0,100,0,0,0,0,0,0,0,0,0,40,0,0,29,100,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,,34
21,45,65,0,0,0,58,0,0,29,0,0,0,,87,41,0,0,0,0,0,0,30,0,58,0,0,23,0,33,0,0,0,47,0,0,0,0,0,0,89,74,0,48,0,0,0,0,0,0,36,0,0,0,33,33,0,0,0,0,0,0,100,69,42,0,0,,0
0,22,0,0,0,57,51,0,0,0,34,47,47,,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,77,0,0,0,0,0,29,0,63,0,0,0,0,0,0,51,0,51,0,0,0,0,0,71,0,70,0,0,0,0,41,30,0,78,0,20,29,0,,0
0,0,0,0,0,77,49,0,0,46,0,0,0,,0,0,0,100,39,27,0,0,0,25,0,0,23,19,60,0,0,0,30,0,0,0,0,36,0,0,0,36,0,0,0,0,0,0,0,0,63,0,0,0,0,39,36,88,0,35,0,0,0,0,0,0,0,,46
0,96,0,0,24,0,41,0,0,30,34,42,42,,0,25,0,0,0,67,0,45,0,54,0,0,54,23,27,32,0,0,0,0,27,0,0,0,0,0,0,0,0,66,0,0,24,0,0,0,0,0,0,0,0,0,85,68,83,0,0,100,0,0,0,100,0,,42
20,59,0,0,34,0,55,0,0,11,0,0,0,,0,0,0,0,0,26,0,46,0,0,37,0,30,24,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,30,26,0,0,0,0,44,0,0,0,0,0,42,39,0,40,0,0,0,58,0,0,0,0,,42
21,0,46,0,0,34,53,73,0,15,51,0,0,,0,66,0,0,0,0,0,28,0,0,0,0,0,30,0,23,26,0,56,30,0,0,32,0,0,0,0,0,42,0,35,0,0,29,73,40,0,0,0,0,49,0,0,0,0,52,52,0,28,0,52,0,0,,50
0,0,34,0,0,48,49,0,0,25,0,87,87,,0,67,0,0,0,100,0,0,0,0,0,84,0,0,0,32,52,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,45,0,25,0,86,0,0,0,46,0,0,33,0,0,0,,18
0,0,0,0,0,20,60,57,0,42,0,0,0,,0,0,0,0,96,0,0,57,0,0,69,0,0,40,0,32,28,0,43,0,0,29,0,0,0,0,38,0,0,38,0,44,0,0,100,0,0,78,0,0,0,0,96,0,48,35,0,0,0,67,0,0,0,,21
0,0,0,0,48,43,43,0,0,34,0,0,0,,0,58,0,70,0,0,46,0,100,0,0,0,100,22,0,65,0,0,0,0,0,0,47,0,0,0,0,0,0,0,26,51,0,0,0,0,0,72,0,32,0,100,51,62,0,0,0,0,0,0,0,0,0,,0
0,38,0,0,43,0,29,0,0,100,38,53,53,,0,72,0,0,0,39,0,45,40,0,0,0,0,0,0,100,0,0,38,0,58,54,0,0,0,29,0,100,0,0,0,68,0,0,0,0,0,0,0,0,56,0,0,49,0,0,0,0,0,0,0,0,0,,0
