,area,hom_dol,vitimas_hom_dol,vit_dol_transito,hom_culposo_transito,hom_culposo,tentativa_homicidio,les_corp_morte,les_corp_dol,les_corp_culposa_transito,les_corp_culposa,latrocinio,n_vitimas_latroc,total_estupro,estup,estup_vulneravel,total_roubo,roub_out,roub_veic,roubo_banco,roubo_carga,furt_out,furt_veic,total_homicidios,total_vitimas_homicidio,total_les_corporal,total_roubo2,total_furt
46,94,23.0,25.0,1.0,8.0,1.0,25.0,3.0,870.0,209.0,3.0,2.0,2.0,86.0,16.0,70.0,5669.0,5527.0,482.0,0.0,142.0,2456.0,413.0,32.0,26.0,1085.0,6151.0,2869.0
47,96,13.0,14.0,0.0,6.0,0.0,7.0,1.0,190.0,112.0,1.0,0.0,0.0,20.0,3.0,17.0,1050.0,1013.0,147.0,0.0,37.0,1938.0,177.0,19.0,14.0,304.0,1197.0,2115.0
48,98,12.0,13.0,0.0,11.0,0.0,11.0,0.0,585.0,186.0,8.0,3.0,3.0,67.0,9.0,58.0,2852.0,2730.0,596.0,0.0,122.0,2690.0,760.0,23.0,13.0,779.0,3448.0,3450.0
49,100,8.0,8.0,0.0,6.0,1.0,9.0,0.0,567.0,115.0,3.0,1.0,1.0,61.0,11.0,50.0,2557.0,2539.0,271.0,0.0,18.0,2994.0,463.0,15.0,8.0,685.0,2828.0,3457.0
50,102,3.0,3.0,0.0,7.0,0.0,2.0,0.0,327.0,151.0,3.0,1.0,1.0,27.0,6.0,21.0,2007.0,1981.0,249.0,0.0,26.0,2053.0,266.0,10.0,3.0,481.0,2256.0,2319.0
51,104,2.0,2.0,0.0,2.0,0.0,2.0,0.0,144.0,64.0,0.0,0.0,0.0,6.0,4.0,2.0,764.0,739.0,41.0,0.0,25.0,2395.0,382.0,4.0,2.0,208.0,805.0,2777.0
52,106,14.0,17.0,0.0,5.0,2.0,10.0,0.0,411.0,148.0,7.0,0.0,0.0,38.0,10.0,28.0,1408.0,1358.0,375.0,0.0,50.0,1944.0,729.0,21.0,17.0,566.0,1783.0,2673.0
53,112,3.0,3.0,0.0,4.0,0.0,4.0,0.0,236.0,111.0,6.0,0.0,0.0,19.0,7.0,12.0,857.0,831.0,148.0,1.0,25.0,1670.0,827.0,7.0,3.0,353.0,1005.0,2497.0
54,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,57.0,11.0,0.0,0.0,14.0,4.0,10.0,310.0,299.0,51.0,0.0,11.0,834.0,651.0,0.0,0.0,233.0,361.0,1485.0
55,116,1.0,1.0,0.0,1.0,0.0,2.0,0.0,157.0,60.0,10.0,1.0,1.0,8.0,2.0,6.0,449.0,448.0,79.0,0.0,1.0,813.0,592.0,2.0,1.0,227.0,528.0,1405.0
56,124,7.0,7.0,0.0,6.0,1.0,8.0,0.0,426.0,74.0,3.0,0.0,0.0,54.0,10.0,44.0,1105.0,1099.0,78.0,0.0,6.0,1749.0,346.0,14.0,7.0,503.0,1183.0,2095.0
57,126,4.0,4.0,0.0,12.0,0.0,8.0,0.0,412.0,140.0,2.0,0.0,0.0,37.0,8.0,29.0,1431.0,1413.0,162.0,0.0,18.0,1963.0,445.0,16.0,4.0,554.0,1593.0,2408.0
58,128,8.0,8.0,0.0,4.0,0.0,10.0,0.0,646.0,115.0,6.0,0.0,0.0,50.0,8.0,42.0,1801.0,1785.0,204.0,0.0,16.0,3065.0,633.0,12.0,8.0,767.0,2005.0,3698.0
59,130,1.0,1.0,0.0,9.0,0.0,6.0,0.0,309.0,84.0,7.0,1.0,1.0,16.0,1.0,15.0,1143.0,1127.0,148.0,0.0,16.0,3189.0,438.0,10.0,1.0,400.0,1291.0,3627.0
60,132,5.0,5.0,0.0,2.0,2.0,4.0,1.0,380.0,180.0,19.0,0.0,0.0,45.0,12.0,33.0,1298.0,1255.0,207.0,0.0,43.0,1776.0,558.0,9.0,5.0,580.0,1505.0,2334.0
61,138,4.0,4.0,0.0,6.0,0.0,5.0,0.0,459.0,130.0,3.0,1.0,1.0,50.0,11.0,39.0,1893.0,1871.0,322.0,0.0,22.0,1628.0,979.0,10.0,4.0,592.0,2215.0,2607.0
62,140,6.0,7.0,0.0,4.0,0.0,12.0,1.0,342.0,141.0,13.0,0.0,0.0,41.0,10.0,31.0,1529.0,1502.0,282.0,0.0,27.0,1061.0,743.0,10.0,7.0,497.0,1811.0,1804.0
63,146,16.0,16.0,0.0,23.0,0.0,13.0,0.0,628.0,185.0,5.0,1.0,1.0,56.0,5.0,51.0,1655.0,1526.0,324.0,1.0,128.0,2610.0,435.0,39.0,16.0,818.0,1979.0,3045.0
64,150,12.0,12.0,0.0,3.0,0.0,18.0,0.0,393.0,124.0,15.0,1.0,1.0,42.0,5.0,37.0,1530.0,1472.0,289.0,0.0,58.0,1132.0,292.0,15.0,12.0,532.0,1819.0,1424.0
65,154,5.0,5.0,0.0,0.0,0.0,6.0,1.0,269.0,51.0,5.0,0.0,0.0,11.0,7.0,4.0,2224.0,2221.0,24.0,0.0,3.0,5063.0,211.0,5.0,5.0,326.0,2248.0,5274.0
66,156,1.0,1.0,0.0,2.0,0.0,2.0,0.0,252.0,115.0,6.0,0.0,0.0,9.0,6.0,3.0,3180.0,3176.0,28.0,0.0,4.0,7437.734,516.0,3.0,1.0,373.0,3208.0,7953.734
67,160,7.0,10.0,0.0,4.0,1.0,9.0,0.0,271.0,78.0,1.0,1.0,1.0,27.0,4.0,23.0,1220.0,1211.0,185.0,0.0,9.0,1115.0,153.0,12.0,10.0,350.0,1405.0,1268.0
68,162,1.0,1.0,0.0,1.0,0.0,5.0,0.0,226.0,57.0,0.0,0.0,0.0,4.0,1.0,3.0,457.0,438.0,23.0,0.0,19.0,1038.0,139.0,2.0,1.0,283.0,480.0,1177.0
69,170,16.0,16.0,0.0,3.0,0.0,14.0,1.0,587.0,142.0,3.0,1.0,1.0,75.0,12.0,63.0,2398.0,2256.0,223.0,0.0,142.0,2192.0,319.0,19.0,16.0,733.0,2621.0,2511.0
70,174,4.0,4.0,0.0,3.0,1.0,4.0,0.0,274.0,95.0,29.0,0.0,0.0,24.0,11.0,13.0,1145.0,1116.0,233.0,0.0,29.0,1496.0,415.0,8.0,4.0,398.0,1378.0,1911.0
71,178,8.0,8.0,0.0,11.0,0.0,6.0,0.0,270.0,101.0,9.0,0.0,0.0,23.0,7.0,16.0,1652.0,1636.0,198.0,0.0,16.0,1587.0,136.0,19.0,8.0,380.0,1850.0,1723.0
72,180,5.0,5.0,0.0,14.0,1.0,8.0,0.0,222.0,118.0,1.0,0.0,0.0,16.0,2.0,14.0,927.0,824.0,136.0,1.0,102.0,1405.0,276.0,20.0,5.0,341.0,1063.0,1681.0
73,182,2.0,2.0,0.0,5.0,0.0,3.0,0.0,180.0,101.0,3.0,0.0,0.0,7.0,4.0,3.0,646.0,620.0,125.0,0.0,26.0,2052.0,474.0,7.0,2.0,284.0,771.0,2526.0
74,184,24.0,27.0,4.0,10.0,0.0,22.0,3.0,664.0,225.0,12.0,0.0,0.0,64.0,19.0,45.0,2988.0,2931.0,279.0,0.0,57.0,2755.0,416.0,34.0,31.0,904.0,3267.0,3171.0
75,192,2.0,2.0,0.0,2.0,1.0,3.0,0.0,295.0,158.0,13.0,0.0,0.0,10.0,5.0,5.0,2061.0,2040.0,138.0,0.0,21.0,3402.0,385.0,5.0,2.0,466.0,2199.0,3787.0
76,194,1.0,1.0,0.0,3.0,1.0,5.0,0.0,356.0,93.0,5.0,0.0,0.0,23.0,8.0,15.0,1138.0,1129.0,233.0,0.0,9.0,1366.0,175.0,5.0,1.0,454.0,1371.0,1541.0
77,196,15.0,15.0,0.0,4.0,0.0,16.0,0.0,657.0,111.0,3.0,0.0,0.0,63.0,11.0,52.0,2199.0,2173.0,409.0,0.0,26.0,1672.0,228.0,19.0,15.0,771.0,2608.0,1900.0
78,198,0.0,0.0,0.0,11.0,0.0,6.0,0.0,180.0,138.0,16.0,0.0,0.0,9.0,1.0,8.0,1280.0,1256.0,230.0,0.0,24.0,1965.0,639.0,11.0,0.0,334.0,1510.0,2604.0
79,202,23.0,23.0,0.0,12.0,0.0,16.0,1.0,608.0,224.0,14.0,1.0,1.0,65.0,15.0,50.0,2137.0,2063.0,237.0,0.0,74.0,2594.0,255.0,35.0,23.0,847.0,2374.0,2849.0
80,204,4.0,4.0,0.0,9.0,0.0,4.0,0.0,148.0,222.0,3.0,0.0,0.0,12.0,4.0,8.0,666.0,641.0,131.0,0.0,25.0,1039.0,226.0,13.0,4.0,373.0,797.0,1265.0
81,206,4.0,4.0,0.0,3.0,0.0,5.0,1.0,399.0,67.0,3.0,0.0,0.0,30.0,7.0,23.0,1127.0,1119.0,143.0,0.0,8.0,1525.0,376.0,7.0,4.0,470.0,1270.0,1901.0
