,bar,bbq,biergarten,cafe,drinking_water,fast_food,food_court,ice_cream,pub,restaurant,college,driving_school,kindergarten,language_school,library,toy_library,music_school,school,university,bicycle_parking,bicycle_repair_station,bicycle_rental,boat_rental,boat_sharing,bus_station,car_rental,car_sharing,car_wash,vehicle_inspection,charging_station,ferry_terminal,fuel,grit_bin,motorcycle_parking,parking,parking_entrance,parking_space,taxi,atm,bank,bureau_de_change,baby_hatch,clinic,dentist,doctors,hospital,nursing_home,pharmacy,social_facility,veterinary,arts_centre,brothel,casino,cinema,community_centre,fountain,gambling,nightclub,planetarium,public_bookcase,social_centre,stripclub,studio,swingerclub,theatre,animal_boarding,animal_shelter,baking_oven,bench,childcare,clock,conference_centre,courthouse,crematorium,dive_centre,embassy,fire_station,give_box,grave_yard,hunting_stand,internet_cafe,kitchen,kneipp_water_cure,marketplace,monastery,photo_booth,place_of_worship,police,post_box,post_depot,post_office,prison,public_bath,ranger_station,recycling,refugee_site,sanitary_dump_station,shelter,shower,telephone,toilets,townhall,vending_machinne,waste_basket,waste_disposal,waste_transfer_station,watering_place,water_point,verified,protected,anos_ativo,tweets_por_ano,followers_por_ano,following_por_ano
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,7.623762376237623,809.4225535877764,171.41248859776087,160.05524945351678
50,3,0,0,2,0,7,0,0,6,15,0,2,0,0,1,0,0,1,0,5,3,2,0,0,0,0,0,3,0,0,0,3,0,0,4,2,0,7,2,1,0,0,2,1,0,0,0,6,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,0,3,0,0,0,1,0,0,1,0,10,1,0,0,6,16,0,0,0,0.0,0.0297029702970297,6.841584158415841,1002.140265867246,65.17585242040687,129.2016400541153
51,0,0,0,3,0,9,0,0,6,6,1,0,0,0,3,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,9,2,0,2,2,8,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,8.722772277227723,1476.1236034867222,299.29659013978323,142.1743805287122
52,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0198019801980198,0.0594059405940594,8.881188118811881,1259.6983857726432,1574.0046343920103,171.2336333908116
53,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0099009900990099,0.0594059405940594,7.455445544554456,1134.8984713718623,143.1809360194261,136.795470975669
56,0,0,0,0,2,2,0,0,1,7,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,3,0,1,3,2,0,1,0,3,0,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,9.05940594059406,1472.2699413073176,628.8742516284595,107.77721741954414
57,0,0,0,1,0,5,0,0,11,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,1,1,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0099009900990099,0.0792079207920792,8.683168316831683,1628.6389617258428,3577.6565876642608,127.11995911129574
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0495049504950495,8.089108910891088,1154.4301573838702,231.79806436687625,255.5827277782724
62,6,0,0,3,0,0,0,0,1,7,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,7.277227722772277,1322.2127743131457,270.72292108331715,163.07766420872858
63,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0329670329670329,7.648351648351649,1322.2127743131457,90.05469000135668,163.07766420872858
64,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0396039603960396,7.504950495049504,1884.074564791644,198.80420388192664,212.6420861316901
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0198019801980198,0.099009900990099,9.297029702970296,3207.524131588983,288.78362907719344,126.75684024446402
66,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0198019801980198,7.495049504950495,989.5929370134816,307.2503914127676,147.50955881302417
69,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0396039603960396,7.346534653465347,1009.5446698653384,154.36137931100802,203.96439663197089
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0,7.772277227722772,1096.9368476957586,97.63879256057474,172.11928275245106
73,1,0,0,0,0,5,0,0,5,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,1,0,0,0,1,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0297029702970297,0.0396039603960396,7.841584158415841,1552.269573083682,572.5659942642616,109.97306351514273
75,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0594059405940594,7.752475247524752,1552.269573083682,144.43828296703296,109.97306351514273
77,12,0,0,8,0,11,0,2,5,40,0,1,0,0,1,0,0,2,0,1,1,5,0,0,1,0,0,0,0,0,0,2,0,0,39,3,0,13,2,14,0,0,3,0,1,2,0,8,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0495049504950495,0.099009900990099,9.198019801980198,1557.9375037091622,527.1900096190938,164.57581016343394
78,22,0,0,61,3,67,0,7,12,252,3,0,0,4,1,0,0,14,6,17,0,13,0,0,0,0,0,1,0,0,0,7,0,0,75,1,3,57,2,82,2,0,6,4,1,3,0,37,0,1,2,0,0,5,0,2,0,0,0,0,0,0,2,0,6,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,7,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0.0297029702970297,0.0495049504950495,9.01980198019802,1604.1010953842638,644.2709816860807,149.6722200242002
80,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0.0,0.0481927710843373,7.9156626506024095,1321.2734000270143,286.70279820581027,149.99067130994845
81,8,0,0,0,1,7,0,0,11,9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,8,1,1,3,0,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0198019801980198,0.0198019801980198,9.089108910891088,1638.637790070216,3936.6462287437535,137.0688115789601
85,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0594059405940594,6.9405940594059405,1040.190290540043,93.47607554711516,80.11208049376366
87,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0198019801980198,9.237623762376238,937.2877407795723,194.95497082675303,115.99288722828328
89,0,0,0,2,1,9,0,1,1,9,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,6,0,0,1,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0.0297029702970297,0.0693069306930693,9.544554455445544,2059.64091315725,2710.680924850727,152.74226785315895
90,0,0,0,0,0,1,0,1,11,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,3,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.0297029702970297,0.0099009900990099,8.712871287128714,1876.1677952685377,1825.196785173023,201.8858882866309
91,0,0,0,1,0,0,0,0,4,4,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,9.9009900990099,1517.4878377672933,547.8556088026385,83.07434411023519
92,0,0,0,0,0,8,0,3,1,9,0,2,0,1,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,4,0,0,12,7,1,0,0,8,0,0,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0.0,0.0297029702970297,9.237623762376238,1029.0212620437867,75.06963627681449,60.85845405969168
96,13,0,0,12,0,16,0,0,2,50,1,1,2,0,1,0,0,3,1,0,0,19,0,0,0,0,0,1,0,0,0,7,0,0,4,1,0,8,1,18,1,0,1,1,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0.0396039603960396,0.0198019801980198,9.86138613861386,1595.4749822234971,4903.654358292972,113.39075536674548
97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0099009900990099,0.0693069306930693,8.98019801980198,1607.7719546817318,160.4835376944288,129.15889086161363
98,0,0,1,0,0,5,0,1,0,6,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,1,2,0,0,0,12,0,0,8,1,0,1,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0.0198019801980198,0.0594059405940594,8.435643564356436,1100.090524739287,145.91609540074887,117.11425359568923
99,0,0,1,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,3,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0594059405940594,9.15841584158416,2379.8727365868453,142.7220382752561,105.07242342366104
101,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,3,0,0,1,0,0,1,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0198019801980198,0.0594059405940594,7.237623762376238,2379.8727365868453,142.7220382752561,105.07242342366104
102,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0297029702970297,8.861386138613861,2379.8727365868453,142.7220382752561,105.07242342366104
103,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0119047619047619,0.0,7.238095238095238,2379.8727365868453,142.7220382752561,105.07242342366104
